# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 1.484182956120012054e-01
2.400000000000000000e+01 4.738298730230138672e-02
3.600000000000000000e+01 8.002279212154587984e-02
4.800000000000000000e+01 6.925362105800778045e-02
6.000000000000000000e+01 8.465503147330713518e-02
7.200000000000000000e+01 8.092007695339574480e-02
8.400000000000000000e+01 8.789092844770636515e-02
9.600000000000000000e+01 8.659237721978799152e-02
1.080000000000000000e+02 9.614123497489758530e-02
1.200000000000000000e+02 9.241045598600750033e-02
1.320000000000000000e+02 9.541311257145682068e-02
1.440000000000000000e+02 8.373926525889330286e-02
1.560000000000000000e+02 8.550993283248982391e-02
1.680000000000000000e+02 9.024505276704794521e-02
1.800000000000000000e+02 9.767826804804252694e-02
1.920000000000000000e+02 8.827020284601895528e-02
2.040000000000000000e+02 1.013302502314345627e-01
2.160000000000000000e+02 9.345873374485300089e-02
2.280000000000000000e+02 8.077225007945880442e-02
2.400000000000000000e+02 8.358112131057923722e-02
2.520000000000000000e+02 9.016851252692767438e-02
2.640000000000000000e+02 8.401428113459478986e-02
2.760000000000000000e+02 8.480116993915803869e-02
2.880000000000000000e+02 6.694314343752455487e-02
3.000000000000000000e+02 6.531304132332078904e-02
3.120000000000000000e+02 6.709559440344135817e-02
3.240000000000000000e+02 6.954309105678074809e-02
3.360000000000000000e+02 6.175624762619459640e-02
3.480000000000000000e+02 6.383436948787142573e-02
3.600000000000000000e+02 5.522942113805134889e-02
3.720000000000000000e+02 4.644370018329522370e-02
3.840000000000000000e+02 5.860093382403532697e-02
3.960000000000000000e+02 5.321776139283144330e-02
4.080000000000000000e+02 5.899113181402120681e-02
4.200000000000000000e+02 5.947828170594452596e-02
4.320000000000000000e+02 5.291731723305288099e-02
4.440000000000000000e+02 4.376710637765916789e-02
4.560000000000000000e+02 4.596017341339850987e-02
4.680000000000000000e+02 4.024554065382542067e-02
4.800000000000000000e+02 3.924746771799265260e-02
4.920000000000000000e+02 4.735906559065260202e-02
5.040000000000000000e+02 4.181757075075507452e-02
5.160000000000000000e+02 2.788193539246198310e-02
5.280000000000000000e+02 3.073741451495425395e-02
5.400000000000000000e+02 1.833286981299587712e-02
5.520000000000000000e+02 2.574145591632436003e-02
5.640000000000000000e+02 1.359404039413593911e-02
5.760000000000000000e+02 1.455386820933310399e-02
5.880000000000000000e+02 7.911125183390701684e-03
6.000000000000000000e+02 1.454217022475119865e-02
6.120000000000000000e+02 9.994854921935299868e-03
6.240000000000000000e+02 1.150121236886270104e-02
6.360000000000000000e+02 -1.862284267540426086e-03
6.480000000000000000e+02 4.310622512135485994e-03
6.600000000000000000e+02 -6.489029700591926160e-04
6.720000000000000000e+02 1.264765847704469974e-02
6.840000000000000000e+02 -4.513761157800564097e-04
6.960000000000000000e+02 5.156532684373945664e-03
7.080000000000000000e+02 -7.763496125037306402e-04
