# z, uu, vv, ww, tke
0.000000000000000000e+00 3.516752081308059985e+01 3.516742092718062196e+01 3.516803393005459810e+01 5.275148783515791706e+01
1.200000000000000000e+01 2.967883870621599862e-01 2.966481633905316828e-01 2.968882974849248457e-01 4.451624239688082851e-01
2.400000000000000000e+01 2.523382388783849128e-01 2.520777247177258817e-01 2.522830796405367559e-01 3.783495216183237475e-01
3.600000000000000000e+01 1.310661227458388700e-01 1.309225020844941578e-01 1.310245103941891087e-01 1.965065676122610683e-01
4.800000000000000000e+01 1.177224159863222708e-01 1.176012730342737289e-01 1.176808139668899661e-01 1.765022514937429898e-01
6.000000000000000000e+01 1.011390665738071265e-01 1.010385472135394980e-01 1.011023464100238162e-01 1.516399800986852064e-01
7.200000000000000000e+01 9.074436707108440858e-02 9.065697582992564285e-02 9.071017407481506145e-02 1.360557584879125703e-01
8.400000000000000000e+01 8.041096076568317319e-02 8.033586138158871348e-02 8.038623995954723156e-02 1.205665310534095591e-01
9.600000000000000000e+01 7.291852091665523838e-02 7.285083186865311256e-02 7.289295744852289372e-02 1.093311551169156154e-01
1.080000000000000000e+02 6.691408863028096288e-02 6.685032042432927091e-02 6.689199638439095874e-02 1.003282027195006032e-01
1.200000000000000000e+02 6.220189714048110496e-02 6.214206769893169252e-02 6.217914377603954434e-02 9.326155430772617438e-02
1.320000000000000000e+02 5.738895755845357938e-02 5.733233867124828270e-02 5.736903783937133405e-02 8.604516703453660154e-02
1.440000000000000000e+02 5.289657399932860132e-02 5.284534938182031127e-02 5.287860957401485651e-02 7.931026647758188108e-02
1.560000000000000000e+02 4.834088564558319118e-02 4.829646902806228326e-02 4.832545665558782289e-02 7.248140566461665213e-02
1.680000000000000000e+02 4.479859474389518564e-02 4.475814942690974074e-02 4.478318550259879210e-02 6.716996483670185925e-02
1.800000000000000000e+02 4.189526047444815104e-02 4.185737136880363779e-02 4.188294264129512751e-02 6.281778724227346511e-02
1.920000000000000000e+02 3.913434206838928980e-02 3.910119171156730550e-02 3.912297585656090287e-02 5.867925481825875256e-02
2.040000000000000000e+02 3.662837866428402672e-02 3.659698965096595813e-02 3.661746746312383866e-02 5.492141788918690481e-02
2.160000000000000000e+02 3.413643478017498040e-02 3.410559385528779547e-02 3.412606337294816355e-02 5.118404600420546624e-02
2.280000000000000000e+02 3.123522589738914751e-02 3.121092787775855276e-02 3.122715827249215870e-02 4.683665602381992948e-02
2.400000000000000000e+02 2.851085386299057403e-02 2.848982265252589588e-02 2.850364522420068339e-02 4.275216086985857838e-02
