# z, uu, vv, ww, tke
0.000000000000000000e+00 7.466760839163807950e-02 5.399366398341777507e-02 2.295725469030604048e-03 6.547849892204322952e-02
1.200000000000000000e+01 1.269487930714294777e-01 8.807078746155282134e-02 7.270985116002597927e-03 1.111452828244924584e-01
2.400000000000000000e+01 1.703899459273614525e-01 1.272311090267710665e-01 2.336517729690754108e-02 1.604931161255200300e-01
3.600000000000000000e+01 1.293807377670065650e-01 9.824950227835187178e-02 3.870936002246177371e-02 1.331698000339101018e-01
4.800000000000000000e+01 1.208508453113300712e-01 9.147637374800755838e-02 3.833512424899534338e-02 1.253311716541664900e-01
6.000000000000000000e+01 1.068179832658799067e-01 8.036302911169240781e-02 4.022052741551499638e-02 1.137007698965436520e-01
7.200000000000000000e+01 1.007346422055301616e-01 7.363943807775676087e-02 3.831614440457917908e-02 1.063451123439330542e-01
8.400000000000000000e+01 9.222809466037035220e-02 6.730279726447672972e-02 3.803860177488817967e-02 9.878474684986764121e-02
9.600000000000000000e+01 8.869015094763037232e-02 6.190429071950011297e-02 3.637684868001466593e-02 9.348564517357257908e-02
1.080000000000000000e+02 8.275036396365248459e-02 5.737152849711465996e-02 3.584168855515752067e-02 8.798179050796232914e-02
1.200000000000000000e+02 7.973928154874961038e-02 5.381135715993905222e-02 3.448396108380796798e-02 8.401729989624831529e-02
1.320000000000000000e+02 7.800556100562493211e-02 5.041008461264419316e-02 3.325657642748034576e-02 8.083611102287473205e-02
1.440000000000000000e+02 7.651453313183646798e-02 4.763523254803073148e-02 3.232867943579982584e-02 7.823922255783351265e-02
1.560000000000000000e+02 7.395996438293961361e-02 4.497524495206368239e-02 3.097163323506575347e-02 7.495342128503451606e-02
1.680000000000000000e+02 7.178325158423820573e-02 4.301892927842083242e-02 2.989137309473753612e-02 7.234677697869829061e-02
1.800000000000000000e+02 6.888368623623661313e-02 4.158014872926869138e-02 2.868550906730699818e-02 6.957467201640614440e-02
1.920000000000000000e+02 6.685380082836968330e-02 3.983176932750798899e-02 2.727447442342696010e-02 6.698002228965231619e-02
2.040000000000000000e+02 6.386103919077937285e-02 3.821251265573093192e-02 2.627948498057931445e-02 6.417651841354481135e-02
2.160000000000000000e+02 6.230194337360193263e-02 3.650255202715955299e-02 2.508289953837651229e-02 6.194369746956900069e-02
2.280000000000000000e+02 5.909169611401565714e-02 3.466264250840842692e-02 2.427194639084599009e-02 5.901314250663503014e-02
2.400000000000000000e+02 5.639059497435483514e-02 3.300954734374306199e-02 2.305239607754708264e-02 5.622626919782248989e-02
2.520000000000000000e+02 5.433813738815840982e-02 3.137616006223761800e-02 2.200450540898020793e-02 5.385940142968811267e-02
2.640000000000000000e+02 5.290499230096850497e-02 3.069395610569220639e-02 2.085598032999531892e-02 5.222746436832801514e-02
2.760000000000000000e+02 5.057403075796685493e-02 2.911855371208978485e-02 1.988631503575349208e-02 4.978944975290507113e-02
2.880000000000000000e+02 4.830397955690689943e-02 2.720567757556907953e-02 1.893530783823308208e-02 4.722248248535453052e-02
3.000000000000000000e+02 4.627091042556558814e-02 2.616188275878455344e-02 1.801647648844951696e-02 4.522463483639983101e-02
3.120000000000000000e+02 4.315391838419489756e-02 2.493955561876828875e-02 1.693453577817148267e-02 4.251400489056733623e-02
3.240000000000000000e+02 4.060892279039736430e-02 2.402906505395381587e-02 1.624353372669993731e-02 4.044076078552556047e-02
3.360000000000000000e+02 3.779412289148142284e-02 2.357300155013328929e-02 1.529490234752190619e-02 3.833101339456830570e-02
3.480000000000000000e+02 3.518581840830736079e-02 2.300786177068915930e-02 1.462312266039649845e-02 3.640840141969651361e-02
3.600000000000000000e+02 3.228523143120912153e-02 2.212313279153474768e-02 1.381424396244081837e-02 3.411130409259234553e-02
3.720000000000000000e+02 3.048014151837349570e-02 2.049082520479614949e-02 1.291969545765206742e-02 3.194533109041085284e-02
3.840000000000000000e+02 2.759213249825156686e-02 1.926355378022993198e-02 1.209900551706159962e-02 2.947734589777154662e-02
3.960000000000000000e+02 2.575164446807258478e-02 1.822604079359230189e-02 1.111452492181499128e-02 2.754610509173993985e-02
4.080000000000000000e+02 2.382664201475369684e-02 1.690516346495612998e-02 1.014490135427701008e-02 2.543835341699341585e-02
4.200000000000000000e+02 2.177477327330966383e-02 1.566120980614400457e-02 9.289898437282432045e-03 2.336294075836805109e-02
4.320000000000000000e+02 1.926607246535265439e-02 1.451505462396585761e-02 8.652738605335408631e-03 2.121693284732695944e-02
4.440000000000000000e+02 1.669106442386554534e-02 1.316812460393428259e-02 7.877980059792536946e-03 1.886858454379618244e-02
4.560000000000000000e+02 1.453801379447456320e-02 1.145118944927107224e-02 7.153616536703251080e-03 1.657140989022444499e-02
4.680000000000000000e+02 1.260669823688665390e-02 9.563725361318622942e-03 6.406713105052868826e-03 1.428856835162907457e-02
4.800000000000000000e+02 1.080452901569227755e-02 8.213313357034740178e-03 5.754335492239748273e-03 1.238608893248338214e-02
4.920000000000000000e+02 9.381733984881646463e-03 7.213989907552368838e-03 5.119788913612921544e-03 1.085775640302346842e-02
5.040000000000000000e+02 7.797925145154658948e-03 6.036041851369708042e-03 4.550999498348886479e-03 9.192483247436626301e-03
5.160000000000000000e+02 6.240058446661911166e-03 4.890823520458735876e-03 4.016785687547338654e-03 7.573833827333992415e-03
5.280000000000000000e+02 4.866725854271443212e-03 3.895682823770180679e-03 3.541104088866685491e-03 6.151756383454155125e-03
5.400000000000000000e+02 3.831792307415992065e-03 3.172205992087596092e-03 3.101154567313657486e-03 5.052576433408622822e-03
5.520000000000000000e+02 3.051644461794753970e-03 2.566557380036898345e-03 2.663438868522937340e-03 4.140820355177295478e-03
5.640000000000000000e+02 2.449156324195096192e-03 2.116532720938221410e-03 2.281389976325505237e-03 3.423539510729411636e-03
5.760000000000000000e+02 2.025760381063781371e-03 1.720999502722751415e-03 1.965934492465595124e-03 2.856347188126063738e-03
5.880000000000000000e+02 1.720783201385725188e-03 1.485213336381237736e-03 1.734543290688232882e-03 2.470269914227597903e-03
6.000000000000000000e+02 1.447263011373538895e-03 1.261922567393810278e-03 1.546354361317044427e-03 2.127769970042197017e-03
6.120000000000000000e+02 1.220008940222986346e-03 1.075487677433626310e-03 1.355000883955916145e-03 1.825248750806264400e-03
6.240000000000000000e+02 1.054392327699029070e-03 9.471445492666106256e-04 1.213837145334148090e-03 1.607687011149893947e-03
6.360000000000000000e+02 9.882318802323813468e-04 8.671499642513495580e-04 1.093909603343208407e-03 1.474645723913469656e-03
6.480000000000000000e+02 8.921937355972801376e-04 8.427719521949439581e-04 1.006608064363234342e-03 1.370786876077729165e-03
6.600000000000000000e+02 8.559482211243384965e-04 8.659808832834413155e-04 9.111341285417035073e-04 1.316531616474741605e-03
6.720000000000000000e+02 8.553124671533666621e-04 8.349855784031825568e-04 8.600522490052510275e-04 1.275175147280900069e-03
6.840000000000000000e+02 8.364412004192896136e-04 8.266422391315558565e-04 7.896223062593120965e-04 1.226352872905078729e-03
6.960000000000000000e+02 8.359680903471709097e-04 8.439837470726217284e-04 7.588184828273310386e-04 1.219385160123561893e-03
7.080000000000000000e+02 8.355449036450589761e-04 8.722970092209421118e-04 7.132242762493865799e-04 1.210533094557693888e-03
7.200000000000000000e+02 8.438102225126435782e-04 9.037064145987457400e-04 6.846595579804561158e-04 1.216088097545922880e-03
7.320000000000000000e+02 9.294665646776123892e-04 9.004465979895908464e-04 6.314303851710498846e-04 1.230671773919126723e-03
