# z, Tu, Tv, Tw
0.000000000000000000e+00 7.902713837700048866e-06 6.335686824002096218e-06 -7.932512284118676203e-08
1.200000000000000000e+01 1.030515110745682246e-05 8.013654385575819827e-06 -5.540535211411928506e-07
2.400000000000000000e+01 1.678881731255614764e-05 1.199498494222552776e-05 -3.104353152927582578e-06
3.600000000000000000e+01 1.937793091461799240e-05 1.147856641769067165e-05 -5.888533624210991280e-06
4.800000000000000000e+01 2.369810454011940211e-05 1.202082409846525500e-05 -8.276637655965368102e-06
6.000000000000000000e+01 2.708353524155881920e-05 1.201953146035066238e-05 -1.078409799395871894e-05
7.200000000000000000e+01 3.086592564262673324e-05 1.274340151388742003e-05 -1.326846570727675733e-05
8.400000000000000000e+01 3.374085563538074307e-05 1.225048248339817235e-05 -1.563592331525717917e-05
9.600000000000000000e+01 3.761020582162473186e-05 1.188857701735059958e-05 -1.799709476232969771e-05
1.080000000000000000e+02 4.107512156728034669e-05 1.034490394418980966e-05 -2.030942487249617529e-05
1.200000000000000000e+02 4.554897664390864751e-05 9.727532961755969349e-06 -2.248929705924438129e-05
1.320000000000000000e+02 4.864208151701632178e-05 8.357093843085295162e-06 -2.464409598191085837e-05
1.440000000000000000e+02 5.270395759926031754e-05 6.930073303919925400e-06 -2.680779439704031889e-05
1.560000000000000000e+02 5.757204062587106564e-05 4.346560841622704489e-06 -2.893220806589236242e-05
1.680000000000000000e+02 6.161108928313297373e-05 1.081228514567555919e-06 -3.095687423493125972e-05
1.800000000000000000e+02 6.482130826160528291e-05 -1.477801340149653624e-06 -3.268336401586799779e-05
1.920000000000000000e+02 6.907257922979397643e-05 -2.401034779222754867e-06 -3.417832974594466451e-05
2.040000000000000000e+02 7.222721779812672695e-05 -6.216274536473065413e-06 -3.595565866200057566e-05
2.160000000000000000e+02 7.668841609817035924e-05 -9.496718121704361305e-06 -3.739482934497237812e-05
2.280000000000000000e+02 7.862621302219850250e-05 -1.255283747916564621e-05 -3.878423324553377456e-05
2.400000000000000000e+02 8.244803539751046468e-05 -1.479998215799014354e-05 -4.037071174742821490e-05
2.520000000000000000e+02 8.548241919311293962e-05 -1.711766983743245795e-05 -4.137782869964479502e-05
2.640000000000000000e+02 9.000213982335480880e-05 -2.281987851829398993e-05 -4.300811105851050424e-05
2.760000000000000000e+02 9.287347884182963495e-05 -2.323083498237110678e-05 -4.349089087975684537e-05
2.880000000000000000e+02 9.437370790386694021e-05 -2.578527767022933327e-05 -4.500927926398104223e-05
3.000000000000000000e+02 9.413064570477444755e-05 -2.700373985394435359e-05 -4.519441360638453526e-05
3.120000000000000000e+02 9.452586611153037592e-05 -2.745827149730075643e-05 -4.658177095088123951e-05
3.240000000000000000e+02 9.500523701149177485e-05 -3.119756171888639069e-05 -4.643337588649123164e-05
3.360000000000000000e+02 9.468109491097038304e-05 -3.397378710731118107e-05 -4.747636118971207490e-05
3.480000000000000000e+02 9.376324596779568154e-05 -3.908359252999389318e-05 -4.706010655347187677e-05
3.600000000000000000e+02 9.073343938104016441e-05 -4.086630195292855378e-05 -4.797016549232530471e-05
3.720000000000000000e+02 9.324908525296678305e-05 -4.368186325268652809e-05 -4.699072446328966075e-05
3.840000000000000000e+02 9.099918101189813878e-05 -4.653082697398076633e-05 -4.687638730194020341e-05
3.960000000000000000e+02 9.101860386896305495e-05 -4.920514813032923150e-05 -4.560608950082826091e-05
4.080000000000000000e+02 9.072761834647736113e-05 -5.150638739172563624e-05 -4.410968958917324019e-05
4.200000000000000000e+02 8.989978641925518415e-05 -5.454736944222986488e-05 -4.251846220799835138e-05
4.320000000000000000e+02 8.826231013634923568e-05 -5.554982631490475148e-05 -4.026135962887143440e-05
4.440000000000000000e+02 8.263305599707564889e-05 -5.396208906824995026e-05 -3.823977901545179382e-05
4.560000000000000000e+02 7.634963116789776941e-05 -5.172549837529914264e-05 -3.529862446951253797e-05
4.680000000000000000e+02 7.243071286545727969e-05 -4.530941005535851345e-05 -3.317557571228212088e-05
4.800000000000000000e+02 6.627123133448549258e-05 -3.990764167314182255e-05 -2.988663452152407331e-05
4.920000000000000000e+02 5.887484514565812741e-05 -3.393758327465548006e-05 -2.677351564647639396e-05
5.040000000000000000e+02 4.775266344011015382e-05 -2.923120828473884031e-05 -2.314911252314611297e-05
5.160000000000000000e+02 3.631735158726314647e-05 -2.202915589310805591e-05 -1.981938689122298515e-05
5.280000000000000000e+02 2.567929067148497853e-05 -1.605869292442889623e-05 -1.691584033958294311e-05
5.400000000000000000e+02 1.620104879976906872e-05 -1.050738980874825774e-05 -1.399778478352742244e-05
5.520000000000000000e+02 1.007238985956746471e-05 -6.437150973096094931e-06 -1.144059179718006649e-05
5.640000000000000000e+02 5.082599154241052394e-06 -4.232323980801311241e-06 -8.932632859979097782e-06
5.760000000000000000e+02 1.666715095382187493e-06 -3.416240244445134325e-06 -7.109002936952012193e-06
5.880000000000000000e+02 -8.573201550802878010e-07 -2.571438625830069304e-06 -5.465023907578334391e-06
6.000000000000000000e+02 -2.632825990008314115e-06 -1.419237115572968832e-06 -4.144226180634574802e-06
6.120000000000000000e+02 -3.151289713673577184e-06 -2.649331643283403776e-07 -3.149694582127151643e-06
6.240000000000000000e+02 -3.003397834504539720e-06 5.724349100546533399e-07 -2.192438448720931438e-06
6.360000000000000000e+02 -2.841692216861701833e-06 1.790378913921131280e-06 -1.799965997425419890e-06
6.480000000000000000e+02 -2.446226793949790400e-06 1.825957931890798225e-06 -1.180744776355189698e-06
6.600000000000000000e+02 -1.840358724086854732e-06 1.947202107538714529e-06 -1.121497369452592430e-06
6.720000000000000000e+02 -1.474335204602539241e-06 1.190812447725875303e-06 -7.294722447548325314e-07
6.840000000000000000e+02 -8.285092525852633294e-07 1.203083130604909395e-06 -9.334215806500510585e-07
6.960000000000000000e+02 -8.269170428889083097e-07 8.301795859836147500e-07 -5.193898514423523519e-07
7.080000000000000000e+02 -5.602782629580360659e-07 1.286495486738203847e-06 -7.657712620568383255e-07
7.200000000000000000e+02 4.985032277318168953e-08 6.199301872470641680e-07 -3.427748212242774993e-07
7.320000000000000000e+02 4.128687448996970227e-07 7.882875319808135596e-07 -5.615428101235119225e-07
7.440000000000000000e+02 8.206408760429440110e-07 8.188798218554893771e-07 -6.322126732628023774e-08
7.560000000000000000e+02 7.895272164205380567e-07 1.566329246008990555e-06 -2.142520641451120688e-07
7.680000000000000000e+02 1.293861219880909654e-06 1.968616296886693907e-06 3.811969359049441642e-07
7.800000000000000000e+02 1.394773827337303343e-06 3.169360317446034882e-06 1.560400306302564002e-07
7.920000000000000000e+02 1.783096913527515441e-06 3.013749133049259494e-06 6.477178428462209465e-07
8.040000000000000000e+02 1.276022282149824544e-06 3.553661085288695230e-06 3.998831296059471736e-07
8.160000000000000000e+02 1.589311325460585042e-06 3.148282914071387574e-06 8.016300800733157155e-07
8.280000000000000000e+02 6.589489276279891483e-07 3.915588972455452641e-06 5.533566095638013367e-07
8.400000000000000000e+02 1.413814390980405718e-06 3.540399782741587796e-06 8.293020250476958775e-07
8.520000000000000000e+02 1.257822780530659679e-06 3.823476178109786152e-06 3.904420474806368368e-07
