# z, Tu, Tv, Tw
0.000000000000000000e+00 -5.415391775406654147e-08 -8.902384411522081006e-09 -2.633271716504916074e-06
1.200000000000000000e+01 1.859166326136897681e-08 1.760519354269907476e-08 -1.505091670701293791e-06
2.400000000000000000e+01 2.652903359184263892e-08 1.447127168520684744e-08 -2.493995650203523239e-06
3.600000000000000000e+01 3.009195834049050489e-08 1.508290774642841908e-08 -1.893784069954675057e-06
4.800000000000000000e+01 3.015140475959482753e-08 6.154613497262460225e-09 -1.967174095850159065e-06
6.000000000000000000e+01 3.202600411635837146e-08 2.298267987744533350e-09 -1.974565957315830399e-06
7.200000000000000000e+01 3.203115402485203953e-08 4.460727018948674661e-09 -1.978404671507462611e-06
8.400000000000000000e+01 3.267851424670401200e-08 8.949598105505950736e-09 -1.971751839876993996e-06
9.600000000000000000e+01 3.811957334292849452e-08 4.550370148050444401e-09 -1.983095887708045560e-06
1.080000000000000000e+02 3.769279596515401076e-08 3.002852288429461838e-09 -2.026597041299793721e-06
1.200000000000000000e+02 3.842241121952433138e-08 -1.042425623383969848e-09 -2.089810818373868855e-06
1.320000000000000000e+02 3.783770794585378674e-08 -3.718228642760439876e-09 -2.137158786484509461e-06
1.440000000000000000e+02 4.054899924668972105e-08 -9.383502545252888734e-10 -2.179741364024077951e-06
1.560000000000000000e+02 3.803085977530125034e-08 4.933443358597406654e-10 -2.145873451305765350e-06
1.680000000000000000e+02 3.532843434742884382e-08 -3.765681932021512663e-10 -2.120249436105208496e-06
1.800000000000000000e+02 3.621583636588687861e-08 -1.268603882792962165e-09 -2.187052126623900298e-06
1.920000000000000000e+02 3.672726941666515331e-08 -5.173092170250726218e-09 -2.260215482683016473e-06
2.040000000000000000e+02 3.892208064743096507e-08 -4.649014176616731066e-09 -2.346256319686410865e-06
2.160000000000000000e+02 4.427601161079220819e-08 -2.686273715674929103e-09 -2.409568719129095770e-06
2.280000000000000000e+02 4.433124276913031406e-08 3.557543562736747569e-09 -2.365881057138918356e-06
2.400000000000000000e+02 3.572343217349691194e-08 2.817419526717901342e-09 -2.336467863271920010e-06
