# z, Tu, Tv, Tw
0.000000000000000000e+00 -4.299089195179356913e-03 -3.571625169156584286e-03 -4.279791387913567252e-07
1.200000000000000000e+01 -4.298227086224221290e-03 -3.567750190838438543e-03 1.789493182070056633e-06
2.400000000000000000e+01 -4.281574915362682150e-03 -3.557505286084994972e-03 1.390078574945441340e-08
3.600000000000000000e+01 -4.276170184162345241e-03 -3.564312250070611390e-03 -2.735768185486658782e-06
4.800000000000000000e+01 -4.269316067621298748e-03 -3.564496480627258376e-03 -4.688277285805774974e-06
6.000000000000000000e+01 -4.261160772070229745e-03 -3.568095384996399638e-03 -7.808022298422427008e-06
7.200000000000000000e+01 -4.251854491792335378e-03 -3.569018680315627808e-03 -9.721731326746730641e-06
8.400000000000000000e+01 -4.250281532892199836e-03 -3.575423393723338103e-03 -1.222604769323236191e-05
9.600000000000000000e+01 -4.245768955844187245e-03 -3.575617853424512167e-03 -1.379218668076669338e-05
1.080000000000000000e+02 -4.239852894711987341e-03 -3.579709078608368442e-03 -1.533025990311462507e-05
1.200000000000000000e+02 -4.236366752496087233e-03 -3.582892465715133406e-03 -1.597164639904654951e-05
1.320000000000000000e+02 -4.232178292960043012e-03 -3.585527737878612623e-03 -1.675077472251826493e-05
1.440000000000000000e+02 -4.228830619181121568e-03 -3.589534840710882548e-03 -1.869044006294559590e-05
1.560000000000000000e+02 -4.229923732428244806e-03 -3.593100349608755687e-03 -1.918966770189428541e-05
1.680000000000000000e+02 -4.227562327737655404e-03 -3.595266695080044910e-03 -2.158232847228798863e-05
1.800000000000000000e+02 -4.224714504918552355e-03 -3.595808476415834117e-03 -2.269242120037570699e-05
1.920000000000000000e+02 -4.228696966179450352e-03 -3.597230068507542393e-03 -2.401472741312812902e-05
2.040000000000000000e+02 -4.233239869248313705e-03 -3.599272886481980852e-03 -2.474415680353034372e-05
2.160000000000000000e+02 -4.239764763028620355e-03 -3.600051208173909046e-03 -2.538784024425949800e-05
2.280000000000000000e+02 -4.243047404537742505e-03 -3.598963322408235254e-03 -2.587767340780445705e-05
2.400000000000000000e+02 -4.237808720478596948e-03 -3.596536953446206972e-03 -2.643925464508235614e-05
2.520000000000000000e+02 -4.242192066530151712e-03 -3.593644990352868294e-03 -2.721663168264052966e-05
2.640000000000000000e+02 -4.262213235934291140e-03 -3.593475800830515238e-03 -2.776015609012951848e-05
2.760000000000000000e+02 -4.269879511782426196e-03 -3.589375161315297175e-03 -2.697752975789879248e-05
2.880000000000000000e+02 -4.275870862199053664e-03 -3.585640724641723544e-03 -2.721576367417590810e-05
3.000000000000000000e+02 -4.285586534506626542e-03 -3.579010153690626288e-03 -2.553567805874364915e-05
3.120000000000000000e+02 -4.275227586069081653e-03 -3.568493385470287473e-03 -2.594583358676826260e-05
3.240000000000000000e+02 -4.290006428011566147e-03 -3.561513339655118793e-03 -2.476970393104235859e-05
3.360000000000000000e+02 -4.296358234929823113e-03 -3.555297877118289256e-03 -2.466136837562380764e-05
3.480000000000000000e+02 -4.299246907412941285e-03 -3.551580826745203041e-03 -2.306530099280246996e-05
3.600000000000000000e+02 -4.310379522456992199e-03 -3.545204963539867835e-03 -2.318839264044811788e-05
3.720000000000000000e+02 -4.313014332311184210e-03 -3.539543302865388180e-03 -2.096705145798870594e-05
3.840000000000000000e+02 -4.309900529755532166e-03 -3.535008028518007040e-03 -2.037867252294453690e-05
3.960000000000000000e+02 -4.321087253202131502e-03 -3.531218037661824211e-03 -1.812134540952890549e-05
4.080000000000000000e+02 -4.334368687101744326e-03 -3.527592982412170244e-03 -1.640733039114377224e-05
4.200000000000000000e+02 -4.347296074065991681e-03 -3.524984987656193912e-03 -1.350328912664704985e-05
4.320000000000000000e+02 -4.341291241367241892e-03 -3.521750718571604270e-03 -1.045935900186878306e-05
4.440000000000000000e+02 -4.347092177799242660e-03 -3.518616226843437281e-03 -7.956125570215707261e-06
4.560000000000000000e+02 -4.335970432671854696e-03 -3.515373210302413960e-03 -4.917657140447747868e-06
4.680000000000000000e+02 -4.320374219633470354e-03 -3.512215164572603330e-03 -2.038063766535195309e-06
4.800000000000000000e+02 -4.323967495216152548e-03 -3.511775236694279594e-03 -3.430173912434636553e-07
4.920000000000000000e+02 -4.309026115320034427e-03 -3.513099598347366875e-03 2.772338519027628292e-06
5.040000000000000000e+02 -4.302941154662539951e-03 -3.518853575253342528e-03 4.812273082985997220e-06
5.160000000000000000e+02 -4.311485740825037050e-03 -3.525423344741204952e-03 7.032690243484440899e-06
5.280000000000000000e+02 -4.313201200813364215e-03 -3.534444005928560461e-03 9.034549663384166618e-06
5.400000000000000000e+02 -4.323535867178565813e-03 -3.542787091846878560e-03 1.071726365895637639e-05
5.520000000000000000e+02 -4.301811834527222503e-03 -3.550263807892599724e-03 1.212811063000767051e-05
5.640000000000000000e+02 -4.297701008834008303e-03 -3.557110370632869927e-03 1.297060268192609145e-05
5.760000000000000000e+02 -4.294370020473638888e-03 -3.563252649373919046e-03 1.350522244384184157e-05
5.880000000000000000e+02 -4.307441516615324699e-03 -3.568433548590178254e-03 1.453094197700990625e-05
