# z, veer
0.000000000000000000e+00 2.279054224134809488e+02
1.200000000000000000e+01 2.280625946857157658e+02
2.400000000000000000e+01 2.289415573647683573e+02
3.600000000000000000e+01 2.294220642996336323e+02
4.800000000000000000e+01 2.297849268288642293e+02
6.000000000000000000e+01 2.301593351680464536e+02
7.200000000000000000e+01 2.305196041405991423e+02
8.400000000000000000e+01 2.308318509732172856e+02
9.600000000000000000e+01 2.311519603710198965e+02
1.080000000000000000e+02 2.314718646620561628e+02
1.200000000000000000e+02 2.317811122643942952e+02
1.320000000000000000e+02 2.321074146392318482e+02
1.440000000000000000e+02 2.324331870316225945e+02
1.560000000000000000e+02 2.327404609138453111e+02
1.680000000000000000e+02 2.330614474679847206e+02
1.800000000000000000e+02 2.333749118531786735e+02
1.920000000000000000e+02 2.337065733355950954e+02
2.040000000000000000e+02 2.339973587217930913e+02
2.160000000000000000e+02 2.343007217296082842e+02
2.280000000000000000e+02 2.345898146722356046e+02
2.400000000000000000e+02 2.349047214498122571e+02
2.520000000000000000e+02 2.351807472043240921e+02
2.640000000000000000e+02 2.354626956363775605e+02
2.760000000000000000e+02 2.357603698317878411e+02
2.880000000000000000e+02 2.360403554970089886e+02
3.000000000000000000e+02 2.363256155639707004e+02
3.120000000000000000e+02 2.365911685290961373e+02
3.240000000000000000e+02 2.368494288011768560e+02
3.360000000000000000e+02 2.370927617494919559e+02
3.480000000000000000e+02 2.373328882325118911e+02
3.600000000000000000e+02 2.375575796736044936e+02
3.720000000000000000e+02 2.377814942771860274e+02
3.840000000000000000e+02 2.380013038613140850e+02
3.960000000000000000e+02 2.382034018736789562e+02
4.080000000000000000e+02 2.384155794799482067e+02
4.200000000000000000e+02 2.386120379475451330e+02
4.320000000000000000e+02 2.388246762387692286e+02
4.440000000000000000e+02 2.390260602898054003e+02
4.560000000000000000e+02 2.392089133423290264e+02
4.680000000000000000e+02 2.393879441911216190e+02
4.800000000000000000e+02 2.395603902313996230e+02
4.920000000000000000e+02 2.397295199035704059e+02
5.040000000000000000e+02 2.398873848417179317e+02
5.160000000000000000e+02 2.400276168692184626e+02
5.280000000000000000e+02 2.401402720067532357e+02
5.400000000000000000e+02 2.402320384096467478e+02
5.520000000000000000e+02 2.403215709929075388e+02
5.640000000000000000e+02 2.403979649715054165e+02
5.760000000000000000e+02 2.404566839513512946e+02
5.880000000000000000e+02 2.405040589237565030e+02
6.000000000000000000e+02 2.405328926799283806e+02
6.120000000000000000e+02 2.405726944070700881e+02
6.240000000000000000e+02 2.406030936234066075e+02
6.360000000000000000e+02 2.406267653842494951e+02
6.480000000000000000e+02 2.406389053148264452e+02
6.600000000000000000e+02 2.406474053186578885e+02
6.720000000000000000e+02 2.406498224803497408e+02
6.840000000000000000e+02 2.406613340757989761e+02
6.960000000000000000e+02 2.406653496874690745e+02
7.080000000000000000e+02 2.406733836378538740e+02
7.200000000000000000e+02 2.406706363952763468e+02
7.320000000000000000e+02 2.406735045390159939e+02
7.440000000000000000e+02 2.406630134589732393e+02
7.560000000000000000e+02 2.406562664913172114e+02
7.680000000000000000e+02 2.406411106180098329e+02
7.800000000000000000e+02 2.406303546204811710e+02
7.920000000000000000e+02 2.406165918210128041e+02
8.040000000000000000e+02 2.406122690099372505e+02
8.160000000000000000e+02 2.406080912034158246e+02
8.280000000000000000e+02 2.406111439759526434e+02
8.400000000000000000e+02 2.406012847799244980e+02
8.520000000000000000e+02 2.405933846893655073e+02
8.640000000000000000e+02 2.405990102437582152e+02
8.760000000000000000e+02 2.405913698054803547e+02
8.880000000000000000e+02 2.405846890738781099e+02
9.000000000000000000e+02 2.405886655237916045e+02
9.120000000000000000e+02 2.405717389563019140e+02
9.240000000000000000e+02 2.405774511631602195e+02
9.360000000000000000e+02 2.405691007892481821e+02
9.480000000000000000e+02 2.405735403645445558e+02
9.600000000000000000e+02 2.405695621490962708e+02
9.720000000000000000e+02 2.405413574208207876e+02
