# z, u, v, w, u_mag
0.000000000000000000e+00 3.404029375879821462e+00 3.075191445199960238e+00 1.989147266348341089e-03 4.587398213932450730e+00
1.200000000000000000e+01 3.728514990500819248e+00 3.349801512344146026e+00 -1.836101428376691030e-03 5.012284666473054706e+00
2.400000000000000000e+01 4.340404296059186429e+00 3.780835594396700028e+00 1.600614091589481428e-03 5.756199250119089506e+00
3.600000000000000000e+01 4.475537234875664794e+00 3.833010696855899013e+00 -1.588226457598405006e-03 5.892572194333602909e+00
4.800000000000000000e+01 4.619749116348675244e+00 3.906074420403601088e+00 1.596601639928222184e-03 6.049752211857316375e+00
6.000000000000000000e+01 4.725598960916385316e+00 3.942906099512477613e+00 -1.491079462193247622e-03 6.154493989947888544e+00
7.200000000000000000e+01 4.830725221920252999e+00 3.979367315016038464e+00 1.414479667907463014e-03 6.258695742586242616e+00
8.400000000000000000e+01 4.917781830693895628e+00 4.006294782515232633e+00 -1.326915778959828407e-03 6.343104742901322979e+00
9.600000000000000000e+01 5.002114971285245737e+00 4.028713597138074753e+00 1.252926680962216863e-03 6.422747776734383685e+00
1.080000000000000000e+02 5.078916495552238786e+00 4.044026227943879448e+00 -1.187922594269464911e-03 6.492267886667240973e+00
1.200000000000000000e+02 5.155156778863524636e+00 4.059460848574354408e+00 1.123920567997482422e-03 6.561620612239632777e+00
1.320000000000000000e+02 5.226043797078965270e+00 4.067278045432894729e+00 -1.050642181117254293e-03 6.622256833715901791e+00
1.440000000000000000e+02 5.294615070292401526e+00 4.072519151053077380e+00 9.781394452513417041e-04 6.679697742788835768e+00
1.560000000000000000e+02 5.353478648741077706e+00 4.072286607247444401e+00 -9.137276709521294964e-04 6.726310481162147248e+00
1.680000000000000000e+02 5.411571595117687927e+00 4.068819746557140071e+00 8.627454295753063645e-04 6.770554039617997510e+00
1.800000000000000000e+02 5.468777317055259601e+00 4.065189050688096550e+00 -8.198900606268287377e-04 6.814197534089558417e+00
1.920000000000000000e+02 5.527981939225441899e+00 4.059730094441330372e+00 7.911371087156253944e-04 6.858570797623453785e+00
2.040000000000000000e+02 5.579124978597289619e+00 4.053864533715156426e+00 -7.650376060354763469e-04 6.896408758897949021e+00
2.160000000000000000e+02 5.633893025789738829e+00 4.048255214198313467e+00 7.417321693136805271e-04 6.937515510288442044e+00
2.280000000000000000e+02 5.683604907160577646e+00 4.040648594145596739e+00 -7.249849310399733310e-04 6.973536142279161965e+00
2.400000000000000000e+02 5.729983024131274583e+00 4.026394151004907940e+00 7.078128790503568574e-04 7.003181835214490114e+00
2.520000000000000000e+02 5.773340549219525997e+00 4.015453978154083892e+00 -6.903077319904166610e-04 7.032448522702504867e+00
2.640000000000000000e+02 5.817904087569421456e+00 4.004114394800406984e+00 6.804680982045824235e-04 7.062644017777028438e+00
2.760000000000000000e+02 5.860925165512644419e+00 3.989009583435561002e+00 -6.670623914582564937e-04 7.089615059892349080e+00
2.880000000000000000e+02 5.902028977077659277e+00 3.974923387574178069e+00 6.585451768379340168e-04 7.115754521976589864e+00
3.000000000000000000e+02 5.938263318106923094e+00 3.956494796058216856e+00 -6.559313664011251575e-04 7.135602478884032429e+00
3.120000000000000000e+02 5.972098511533282306e+00 3.939194308171224179e+00 6.607471083606169691e-04 7.154244395152667302e+00
3.240000000000000000e+02 6.005250929879967003e+00 3.922331108725561233e+00 -6.682596797673662431e-04 7.172706637237542537e+00
3.360000000000000000e+02 6.037365020996471543e+00 3.906828595025474193e+00 6.765708306002122347e-04 7.191181163439600788e+00
3.480000000000000000e+02 6.067037350687483510e+00 3.890052716943535938e+00 -6.846301573920982519e-04 7.207041891369525999e+00
3.600000000000000000e+02 6.095634060529711462e+00 3.874740627524472014e+00 6.922615081872440269e-04 7.222905925574877095e+00
3.720000000000000000e+02 6.121979878307798550e+00 3.857978486684960018e+00 -6.965453161644360146e-04 7.236203156304065409e+00
3.840000000000000000e+02 6.145929501148883034e+00 3.840208515792511879e+00 7.016456967546386668e-04 7.247044319594310835e+00
3.960000000000000000e+02 6.170716362789194775e+00 3.825499034569467049e+00 -7.058871247993252652e-04 7.260315681274669863e+00
4.080000000000000000e+02 6.194814640131224515e+00 3.808753805970680695e+00 7.156860975192385526e-04 7.272024098714668483e+00
4.200000000000000000e+02 6.218608638126184474e+00 3.794061807536710518e+00 -7.256027945751081796e-04 7.284641303460708706e+00
4.320000000000000000e+02 6.243238079450280864e+00 3.777365280577587026e+00 7.329091712051504382e-04 7.297020673998867224e+00
4.440000000000000000e+02 6.265672780936335506e+00 3.760918323294467847e+00 -7.492008862288272990e-04 7.307746752150112712e+00
4.560000000000000000e+02 6.285069193222448725e+00 3.745328107699144926e+00 7.646199534203649206e-04 7.316391049045889439e+00
