# z, u, v, w, u_mag
0.000000000000000000e+00 3.412775717222173988e+00 3.073075607793427810e+00 1.955568177575465159e-03 4.592475978328375064e+00
1.200000000000000000e+01 3.737907947578498202e+00 3.347435443652745590e+00 -1.803356215476711877e-03 5.017696994248137976e+00
2.400000000000000000e+01 4.349858198528042230e+00 3.779657269930950303e+00 1.562504490582907130e-03 5.762558274487450838e+00
3.600000000000000000e+01 4.480921874041580821e+00 3.829997388772321543e+00 -1.545934236755562314e-03 5.894704677011375793e+00
4.800000000000000000e+01 4.622765312395238801e+00 3.904274288488073008e+00 1.546085993985870386e-03 6.050894086299610564e+00
6.000000000000000000e+01 4.724669692384836139e+00 3.943460217608292240e+00 -1.441787410311922389e-03 6.154135541954694588e+00
7.200000000000000000e+01 4.827319979854500787e+00 3.983035721602436574e+00 1.356875060744124799e-03 6.258401839812894885e+00
8.400000000000000000e+01 4.913721747013025443e+00 4.013434989917566753e+00 -1.263414835773329263e-03 6.344471878854882618e+00
9.600000000000000000e+01 4.999552834805888857e+00 4.040222156291828348e+00 1.180987506848489490e-03 6.427979854895196965e+00
1.080000000000000000e+02 5.074308499677081308e+00 4.059293210279695252e+00 -1.113395480934335855e-03 6.498189698413504800e+00
1.200000000000000000e+02 5.152170493928041495e+00 4.076164500788959977e+00 1.053154429016606251e-03 6.569625479822200909e+00
1.320000000000000000e+02 5.223320598437061868e+00 4.087377845678976662e+00 -9.887324043757863071e-04 6.632475910623120363e+00
1.440000000000000000e+02 5.292233701346775732e+00 4.096698868178798136e+00 9.289681554736532254e-04 6.692583957574972153e+00
1.560000000000000000e+02 5.354567568005991873e+00 4.101689898695249248e+00 -8.756316565826315589e-04 6.745017022375187743e+00
1.680000000000000000e+02 5.412929523556527123e+00 4.103743925172434359e+00 8.285035450763064300e-04 6.792681423178748901e+00
1.800000000000000000e+02 5.470183337627717357e+00 4.104057376529419265e+00 -7.829148467456793293e-04 6.838581235173061046e+00
1.920000000000000000e+02 5.526460440145933184e+00 4.104593675670837882e+00 7.433714867511972317e-04 6.883999912220814643e+00
2.040000000000000000e+02 5.575938443155525448e+00 4.103617284244232444e+00 -7.129946894204745910e-04 6.923204810329468550e+00
2.160000000000000000e+02 5.628378859416081958e+00 4.100998868633248584e+00 6.883367346286180331e-04 6.963967316082157133e+00
2.280000000000000000e+02 5.676382489241833085e+00 4.097018684950636036e+00 -6.650847413447068994e-04 7.000491462129188491e+00
2.400000000000000000e+02 5.720882704847861433e+00 4.090442270013920023e+00 6.383974872542888578e-04 7.032795837680443363e+00
2.520000000000000000e+02 5.762878179055554995e+00 4.084171824283526320e+00 -6.120993961644074404e-04 7.063372053882746471e+00
2.640000000000000000e+02 5.804867368939325090e+00 4.075413257186674798e+00 5.915668725936244939e-04 7.092635528333655515e+00
2.760000000000000000e+02 5.843900221170409637e+00 4.065576422285025693e+00 -5.718654183112016100e-04 7.118994435133766174e+00
2.880000000000000000e+02 5.880945065471123279e+00 4.056676717636304552e+00 5.533430360817681928e-04 7.144378290704525902e+00
3.000000000000000000e+02 5.915759829248042223e+00 4.045359359695189561e+00 -5.393171212174989156e-04 7.166669170352518492e+00
3.120000000000000000e+02 5.947448129768247327e+00 4.033989189985450530e+00 5.282300591001082464e-04 7.186460068784233712e+00
3.240000000000000000e+02 5.979230264949326745e+00 4.022723649780622246e+00 -5.192258843790064455e-04 7.206490157724899426e+00
3.360000000000000000e+02 6.009203500018934996e+00 4.012384124459908108e+00 5.101346035492567745e-04 7.225631690523329986e+00
3.480000000000000000e+02 6.037420833454340219e+00 4.001888616956271960e+00 -5.022650524079847476e-04 7.243311609686750252e+00
3.600000000000000000e+02 6.063600728122862549e+00 3.990977601991238188e+00 4.954858529201785393e-04 7.259142942193249404e+00
3.720000000000000000e+02 6.087453196625604690e+00 3.980258407678689991e+00 -4.904044245664405466e-04 7.273207246703526252e+00
3.840000000000000000e+02 6.110244978330963583e+00 3.970448270057927775e+00 4.864034361499766472e-04 7.286944036906901623e+00
3.960000000000000000e+02 6.131089298289903233e+00 3.962144314918431220e+00 -4.844571748242623667e-04 7.299920807141963230e+00
4.080000000000000000e+02 6.151524278706220983e+00 3.952112182276046770e+00 4.844333339394306208e-04 7.311664782214956304e+00
4.200000000000000000e+02 6.171064373413189585e+00 3.942993017910283449e+00 -4.852269815908531476e-04 7.323198049728273595e+00
4.320000000000000000e+02 6.188866083603673296e+00 3.933079018591009834e+00 4.849813050470716384e-04 7.332883075739553114e+00
4.440000000000000000e+02 6.205406320884947036e+00 3.923840273997650563e+00 -4.895830185542541938e-04 7.341906451516277521e+00
4.560000000000000000e+02 6.220048150633783912e+00 3.915986235879938437e+00 4.966823788372448038e-04 7.350098464816459121e+00
4.680000000000000000e+02 6.233805446595003907e+00 3.907524274184212665e+00 -5.064200216603842539e-04 7.357246533574747893e+00
4.800000000000000000e+02 6.246800575673799649e+00 3.900455975856783386e+00 5.173590559108036608e-04 7.364514547442743364e+00
4.920000000000000000e+02 6.257644625758990387e+00 3.893143167673519756e+00 -5.294931770625431423e-04 7.369849405968646572e+00
5.040000000000000000e+02 6.268057457555074485e+00 3.886841812772860560e+00 5.426482873682456944e-04 7.375370083134701105e+00
5.160000000000000000e+02 6.276680074327191328e+00 3.881691949446105738e+00 -5.577215317436459230e-04 7.379989529593115272e+00
5.280000000000000000e+02 6.282592527855584308e+00 3.876976869090970279e+00 5.740310392392973787e-04 7.382541489490247244e+00
5.400000000000000000e+02 6.288051095518673250e+00 3.873192091413243165e+00 -5.920304805930892049e-04 7.385201683592653055e+00
5.520000000000000000e+02 6.292114741318717286e+00 3.869697082659637744e+00 6.112716240425732951e-04 7.386830430104498468e+00
5.640000000000000000e+02 6.296275028558845577e+00 3.866503594543213573e+00 -6.312440596877604742e-04 7.388702841523561382e+00
5.760000000000000000e+02 6.299727705309495995e+00 3.864218935283741274e+00 6.528952418140924205e-04 7.390450430597694798e+00
5.880000000000000000e+02 6.301545442227340033e+00 3.862827769167927805e+00 -6.760439841328316291e-04 7.391272812699210881e+00
6.000000000000000000e+02 6.302727905110126372e+00 3.862204845118018426e+00 7.002086052428087943e-04 7.391955478883721398e+00
6.120000000000000000e+02 6.304133229862218357e+00 3.860855652591736575e+00 -7.253995022141657058e-04 7.392449031018546002e+00
6.240000000000000000e+02 6.304978075543254512e+00 3.860041952158103307e+00 7.519004580379843932e-04 7.392744616910282396e+00
6.360000000000000000e+02 6.305432512555038116e+00 3.859817689573632915e+00 -7.794482666217862491e-04 7.393015107158328547e+00
6.480000000000000000e+02 6.305466593976778888e+00 3.859387562892863777e+00 8.082856609084396876e-04 7.392819623235436843e+00
6.600000000000000000e+02 6.305287512364362357e+00 3.859501662996147164e+00 -8.378078124055906998e-04 7.392726452545767657e+00
6.720000000000000000e+02 6.305605930857805852e+00 3.859505684354882948e+00 8.683229818991810341e-04 7.393000137753386269e+00
6.840000000000000000e+02 6.306007205524041481e+00 3.858897432918840575e+00 -9.003589983807276740e-04 7.393024894084630816e+00
6.960000000000000000e+02 6.305758988098854267e+00 3.858993512876714327e+00 9.341477504748582281e-04 7.392863330337310579e+00
7.080000000000000000e+02 6.305967167385088779e+00 3.859004373759432394e+00 -9.695518778345444495e-04 7.393046571804075207e+00
7.200000000000000000e+02 6.306116882146333147e+00 3.858842033164058272e+00 1.006263594083874188e-03 7.393089542320661955e+00
7.320000000000000000e+02 6.306780478660342304e+00 3.858907815334975844e+00 -1.044724964311164904e-03 7.393689919432298474e+00
7.440000000000000000e+02 6.305626836232933741e+00 3.859206156909976038e+00 1.084661247433997772e-03 7.392861633754742812e+00
7.560000000000000000e+02 6.305471417224281616e+00 3.860224301992424500e+00 -1.126820794257890959e-03 7.393260628765253806e+00
7.680000000000000000e+02 6.304257957554942671e+00 3.861307437462050629e+00 1.170877305172830871e-03 7.392791414137709793e+00
7.800000000000000000e+02 6.304040280186230305e+00 3.862658948680449900e+00 -1.217223454473733736e-03 7.393311807956200354e+00
7.920000000000000000e+02 6.303734059183542904e+00 3.863539129574887099e+00 1.265710953163495583e-03 7.393510620584184068e+00
8.040000000000000000e+02 6.304213134162865551e+00 3.864940083255051118e+00 -1.316348670533984844e-03 7.394651230509588835e+00
8.160000000000000000e+02 6.303926762064283373e+00 3.865692697916091713e+00 1.369904305483008594e-03 7.394800506628280701e+00
8.280000000000000000e+02 6.304463158041087034e+00 3.866050930240621408e+00 -1.426574337728488519e-03 7.395445053641201305e+00
